SessionId   ItemId  Time
11265009    214586805   1411978673.195
11265009    214509260   1411978728.756
11265017    214857547   1411992660.436
11265017    214857268   1411992691.759
11265017    214857260   1411992743.545
11264998    214859848   1411989930.767
11264998    214857787   1411990426.387
11264969    214687963   1411950099.491
11264969    214531502   1411951336.997
11264969    214687963   1411951362.886
11264973    214696532   1411963103.95
11264973    214859034   1411963142.613
11264973    214858850   1411963194.808
